id_atividade,nome_atividade,tipo_atividade,data_atividade_DMA,horario,distancia_percorrida,Tempo_total,pace,ritmo_medio,ganho_elevacao,equipamentos
5638756330,TC 4.0 km,Corrida,2021-07-16,Noite,4.0,00:23:59,00:05:43,10.48,59.1,Puma Flyer Runner
5654965254,TC 5.0 km,Corrida,2021-07-19,Noite,5.0,00:31:11,00:06:10,9.72,56.2,Puma Flyer Runner
5676023275,TC 4.0 km,Corrida,2021-07-23,Noite,4.0,00:23:45,00:05:56,10.11,62.1,Puma Flyer Runner
5777954981,TC 4.0 km,Corrida,2021-08-11,Noite,4.0,00:24:24,00:06:02,9.93,23.7,Puma Flyer Runner
5788098018,TC 5.0 km,Corrida,2021-08-13,Noite,5.0,00:31:25,00:06:15,9.59,46.9,Puma Flyer Runner
5793498511,TC 4.0 km,Corrida,2021-08-14,Noite,4.0,00:25:13,00:05:41,10.54,32.5,Puma Flyer Runner
5804553149,TC 6.0 km,Corrida,2021-08-16,Noite,6.0,00:39:09,00:06:30,9.21,61.9,Puma Flyer Runner
5825774271,TC 5.0 km,Corrida,2021-08-20,Noite,5.0,00:31:06,00:06:12,9.67,43.7,Puma Flyer Runner
5842297287,TC 6.0 km,Corrida,2021-08-23,Noite,6.0,00:41:45,00:06:40,9.0,61,Puma Flyer Runner
5853277422,TC 5.0 km,Corrida,2021-08-25,Noite,5.0,00:32:08,00:06:22,9.41,78.9,Puma Flyer Runner
5863562115,TC 6.0 km,Corrida,2021-08-27,Noite,6.0,00:36:31,00:06:03,9.91,84.3,Puma Flyer Runner
5879724030,TC 6.0 km,Corrida,2021-08-30,Noite,6.0,00:40:24,00:06:42,8.94,83.2,Puma Flyer Runner
5918263028,TC 9.0 km,Corrida,2021-09-06,Noite,9.0,00:58:22,00:06:27,9.28,95.9,Puma Flyer Runner
5931719894,TC 5.0 km,Corrida,2021-09-09,Manhã,5.0,00:35:32,00:06:09,9.74,49.1,Puma Flyer Runner
