ID da atividade,Data da atividade,Nome da atividade,Tipo de atividade,Descrição da atividade,Tempo decorrido,Distância,Frequência cardíaca máxima,Esforço relativo,Deslocamento,Observação privada da atividade,Equipamento da atividade,Nome do arquivo,Peso do atleta,Peso da bicicleta,Tempo decorrido,Tempo de movimentação,Distância,Velocidade máx.,Velocidade média,Ganho de elevação,Perda de elevação,Elevação mínima,Elevação máxima,Inclinação máxima,Inclinação média,Inclinação positiva média,Inclinação negativa média,Cadência máxima,Cadência média,Frequência cardíaca máxima,Frequência cardíaca média,Máximo de watts,Média de watts,Calorias,Temperatura máxima,Temperatura média,Esforço relativo,Total de trabalho,Número de corridas,Tempo de subida,Tempo de descida,Outro tempo,Percepção de esforço,Tipo,Hora de início,Média ponderada de potência,Contagem de potência,Usar Percepção de esforço,Percepção de esforço relativo,Deslocamento,Peso total levantado,Da atividade carregada,Distância ajustada à inclinação,Tempo de observação do clima,Condição climática,Temperatura atmosférica,Temperatura aparente,Ponto de orvalho,Umidade,Pressão atmosférica,Velocidade do vento,Rajada de vento,Direção do vento,Intensidade da precipitação,Hora do nascer do sol,Hora do pôr do sol,Fase da lua,Bicicleta,Equipamento,Probabilidade de precipitação,Tipo de precipitação,Nebulosidade,Visibilidade,Índice UV,Previsão de ozônio,Contagem de pulos,Garra total,Fluxo médio,Sinalizado,Velocidade média (tempo decorrido),Distância na terra,Distância recém-explorada,Distância de terra recém-explorada,Contagem de atividades,Total de passos,Economia de carbono,Extensão da piscina,Carga de treinamento,Intensidade,Ritmo Ajustado à inclinação média,Tempo do temporizador,Total de ciclos,Recuperação,Com animal de estimação,Competição,Corrida longa,Por uma causa,Com criança,Distância da descida,Total de séries,Total de repetições,Mídia
18735380959,"31 de mai. de 2026, 21:21:14",T8K | Z2/Z3,Corrida,"",3057,"8,03",,,false,,Mizuno Wave Rider 28 Wave Rider 28,activities/19844661914.fit.gz,,,3057.0,3047.0,8032.0,3.76,2.636,105.0,103.0,753.2,781.8,13.6,0.0,,,85.0,82.0,,,,313.0,566.0,,,,,,,,,,,,312.0,3058.0,0.0,,0.0,,1.0,8277.1,,,,,,,,,,,,,,,,29739176.0,,,,,,,,,,,2.627,728.7,,,,8344.0,0.0,,136.0,127.0,2.717,,,1.0,,,,,,,,,""
18720928720,"30 de mai. de 2026, 18:49:54","B71,9k | Bloco 40k @ 31,4 km/h",Pedalada,"",11005,"71,90",,,false,,Tropix Madrid,activities/19829940171.fit.gz,,10.0,11005.0,10060.0,71902.9,14.91,7.147,343.0,350.0,716.2,825.0,36.0,0.0,,,,,,,,150.0,1897.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,17741069.0,,,,,,,,,,,2.0,6.534,582.0,,,,,0.0,,,,,,,,,,,,,,,,""
18707684927,"29 de mai. de 2026, 21:41:09",Corrida ao entardecer,Corrida,"",2632,"7,01",,,false,,Mizuno Wave Rider 28 Wave Rider 28,activities/19816429115.fit.gz,,,2632.0,2609.0,7013.1,5.3,2.688,128.0,113.0,755.2,793.8,14.4,0.2,,,87.0,82.0,,,,321.0,489.0,,,,,,,,,,,,321.0,2633.0,0.0,,0.0,,1.0,7357.0,,,,,,,,,,,,,,,,29739176.0,,,,,,,,,,,2.665,35.1,,,,7064.0,0.0,,124.0,130.0,2.82,,,,,,,,,,,,""
18707684710,"29 de mai. de 2026, 21:23:26",Corrida ao entardecer,Corrida,"",1015,"2,96",,,false,,Mizuno Wave Rider 28 Wave Rider 28,activities/19816428951.fit.gz,,,1015.0,1015.0,2962.6,4.28,2.919,8.0,24.0,751.6,778.0,4.3,-0.7,,,85.0,82.0,,,,320.0,198.0,,,,,,,,,,,,316.0,1016.0,0.0,,0.0,,1.0,2931.2,,,,,,,,,,,,,,,,29739176.0,,,,,,,,,,,2.919,0.0,,,,2778.0,0.0,,46.0,128.0,2.888,,,,,,,,,,,,""
18673043646,"27 de mai. de 2026, 09:41:44","T10K | Pace 5'05""",Corrida,"",3059,"10,02",,,false,,Fila Racer T2 T2,activities/19781155498.fit.gz,,,3059.0,3053.0,10020.0,5.2,3.282,136.0,136.0,749.4,781.8,15.8,0.0,,,86.0,84.0,,,,354.0,686.0,,,,,,,,,,,,353.0,3060.0,0.0,,0.0,,1.0,10307.0,,,,,,,,,,,,,,,,19912724.0,,,,,,,,,,,3.276,41.3,,,,8138.0,0.0,,176.0,143.0,3.364,,,,,,,,,,,,""
18660136302,"26 de mai. de 2026, 11:05:36",peito+tríceps+ombros,Treinamento com peso,"",3106,0,,,false,,,activities/19768010091.fit.gz,,,3106.0,3106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,322.0,,,,,,,,,,,,,,,,0.0,3652.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,0.0,,,,,,24,243,""
18654874930,"25 de mai. de 2026, 20:31:28",Afternoon Weight Training,Treinamento com peso,,3981,0,,,false,,,activities/19762650165.fit.gz,,,3981.0,3981.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,319.0,,,,,,,,,,,,,,,,0.0,5746.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,0.0,,,,,,24,246,""
18640024200,"24 de mai. de 2026, 19:06:29","T10K | Pace 5'07""",Corrida,"",3406,"10,02",,,false,,New Balance Propel v5 Propel v5,activities/19747494958.fit.gz,,,3406.0,3081.0,10024.1,4.64,3.254,115.0,122.0,753.2,785.6,12.2,-0.1,,,86.0,83.0,,,,353.0,686.0,,,,,,,,,,,,346.0,3292.0,0.0,,0.0,,1.0,10238.5,,,,,,,,,,,,,,,,26740046.0,,,,,,,,,,,2.943,2552.5,,,,8368.0,0.0,,181.0,141.0,3.323,,,,,,,,,,,,""
18626089263,"23 de mai. de 2026, 19:14:13",Regenerativo | Indoor Training,Pedalada,"",1806,0,,,false,,Tropix Madrid,activities/19733249188.fit.gz,,10.0,1806.0,1806.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,143.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,17741069.0,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
18614006871,"22 de mai. de 2026, 21:14:02","T21,1k | Pace 5'18""",Corrida,"",6751,"21,11",,,false,,New Balance Propel v5 Propel v5,activities/19720915845.fit.gz,,,6751.0,6718.0,21114.1,4.94,3.143,306.0,243.0,736.2,794.6,29.8,0.0,,,88.0,82.0,,,,344.0,1532.0,,,,,,,,,,,,344.0,6752.0,0.0,,0.0,,1.0,21984.1,,,,,,,,,,,,,,,,26740046.0,,,,,,,,,,,3.128,1705.5,,,,17848.0,0.0,,364.0,139.0,3.268,,,,,,,,,,,,""
