Equipamentos;status_Equipamento;valor_equipamento;Viabilidade
"Puma Flyer Runner";"Aposentado";275;275
"GTSM1";"Aposentado";1397;1397
"Show Gravel";"Aposentado";3500;3500
"Olympikus Corre 1";"Aposentado";230;230
"Orbea Aqua";"Aposentado";3570;3570
"Adidas Duramo RC";"Aposentado";246;246
"Puma Velocity Nitro 3";"Aposentado";900;900
"Fila Racer T2";"Ativo";400;400
"Adidas Adizero SL";"Aposentado";483;483
"Fila Racer Speedzone";"Ativo";540;540
"New Balance Propel v5";"Ativo";584;584
"Mizuno Wave Rider 28";"Ativo";495;495
"Tropix Madrid";"Ativo";2850;2850
